Year,ERA,complete_game
1950,4.3637500000000005,998.0
1951,4.044375,938.0
1952,3.7043749999999993,949.0
1953,4.13875,864.0
1954,3.90125,840.0
1955,3.99875,748.0
1956,3.9675000000000007,758.0
1957,3.8362499999999997,710.0
1958,3.86,743.0
1959,3.9081249999999996,742.0
1960,3.818125,666.0
1961,4.02888888888889,745.0
1962,3.9580000000000006,844.0
1963,3.46,865.0
1964,3.584000000000001,797.0
1965,3.5010000000000012,739.0
1966,3.5220000000000007,736.0
1967,3.3055,782.0
1968,2.9829999999999997,897.0
1969,3.6108333333333325,982.0
1970,3.882083333333334,852.0
1971,3.463749999999999,1083.0
1972,3.2587500000000005,1009.0
1973,3.7395833333333335,1061.0
1974,3.6179166666666664,1089.0
1975,3.7008333333333323,1052.0
1976,3.5108333333333337,1039.0
1977,3.9915384615384615,907.0
1978,3.6769230769230767,1034.0
1979,3.9926923076923067,913.0
1980,3.8357692307692304,856.0
1981,3.5823076923076917,510.0
1982,3.8561538461538465,734.0
1983,3.861538461538463,745.0
1984,3.806153846153847,632.0
1985,3.8930769230769235,627.0
1986,3.9642307692307694,579.0
1987,4.28423076923077,561.0
1988,3.7284615384615383,622.0
1989,3.7057692307692305,483.0
1990,3.8546153846153857,429.0
1991,3.904615384615385,366.0
1992,3.7388461538461537,419.0
1993,4.182142857142857,371.0
1994,4.508571428571428,255.0
1995,4.4475,275.0
1996,4.615714285714286,290.0
1997,4.391428571428572,266.0
1998,4.4336666666666655,302.0
1999,4.703999999999998,236.0
2000,4.762333333333332,234.0
2001,4.413,199.0
2002,4.272000000000002,214.0
2003,4.395666666666667,209.0
2004,4.458333333333334,150.0
2005,4.2846666666666655,189.0
2006,4.521666666666666,144.0
2007,4.462666666666667,112.0
2008,4.3166666666666655,136.0
2009,4.314000000000001,152.0
2010,4.073333333333333,165.0
2011,3.936666666666667,173.0
2012,4.009333333333333,128.0
2013,3.8633333333333337,124.0
2014,3.7379999999999995,118.0
2015,3.9563333333333337,104.0
